M_BH,log_sigma0,log_R_e_sph_eq_kpc,<Sigma>_e,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),GJC23W2-W3
6.772184402,2.039810554,-0.698970004,4.237767882,10.13,-9.683043652,3.34
8.033,2.292566171,0.09320168,3.580223194,11.17,-10.87983178,2.14
6.946570769,2.149342299,-0.552841969,3.773058698,10.43,-10.02181093,3.14
7.069243652,2.220108088,-0.125529779,3.890019354,10.72,-10.41712816,2.98
8.230448921,2.365806101,-0.172249594,3.7646954,10.61,-11.27554625,1.36
7.831027367,2.180584597,-0.138846884,3.646396821,10.57,-10.99899033,1.8
6.28172484,2.243013231,-0.463883652,4.0351153,10.41,-9.844636312,3.64
7.248565121,2.103187749,0.011071162,3.379772222,10.65,-10.11229421,3.09
6.892425242,2.074962643,-0.602562326,4.215410267,10.55,-10.80562877,2.13
6.943867278,2.102124856,-0.707743929,4.33213766,10.63,-10.06245608,3.44
7.290949879,1.963079161,-0.248720896,3.967065493,10.53,-9.88977703,2.82
7.614545703,2.123067244,-0.008773924,3.269676245,10.56,-10.58969962,2.44
6.777701437,1.978043494,-0.6970633,4.645944551,10.71,-9.864102354,3.87
6.94910287,1.997779431,0.09485529,3.073682011,10.12,-9.851820002,3.15
7.313964977,2.220631019,0.222378266,3.218513968,10.89,-10.34868291,3.05
8.80845974,2.353473829,0.278753601,3.480317798,11.06,-11.54545225,0.9
8.279168363,2.283934113,-0.638272164,3.245398745,11.06,-10.85756618,2.2
6.833668578,2.030761591,-0.635261445,4.462653911,10.38,-10.46286225,2.71
6.198129619,1.987442805,-0.379291512,3.729386914,10.54,-10.68194428,2.21
6.117794437,2.069889997,-0.795880017,3.780379827,10.23,-9.909625198,3.56
7.744292983,2.073315021,-0.316682738,4.076509592,10.59,-9.637958659,3.29
7.073984272,2.029383778,-0.236572006,3.592874321,10.51,-10.19375699,3.22
